Version,Date_of_report,Date_of_statistics,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0221,Doesburg,<=2009,82,74,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0221,Doesburg,<2004,84,75,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0221,Doesburg,2004-2009,58,47,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0222,Doetinchem,<=2009,83,73,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0222,Doetinchem,<2004,85,75,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0222,Doetinchem,2004-2009,60,45,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0225,Druten,<=2009,87,76,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0225,Druten,<2004,88,78,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0225,Druten,2004-2009,68,51,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0226,Duiven,<=2009,86,76,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0226,Duiven,<2004,88,78,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0226,Duiven,2004-2009,65,50,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0228,Ede,<=2009,75,65,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0228,Ede,<2004,77,67,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0228,Ede,2004-2009,46,34,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0230,Elburg,<=2009,76,65,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0230,Elburg,<2004,79,69,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0230,Elburg,2004-2009,43,29,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0232,Epe,<=2009,81,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0232,Epe,<2004,83,74,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0232,Epe,2004-2009,55,41,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0233,Ermelo,<=2009,77,66,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0233,Ermelo,<2004,80,69,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0233,Ermelo,2004-2009,48,33,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0243,Harderwijk,<=2009,79,67,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0243,Harderwijk,<2004,81,70,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0243,Harderwijk,2004-2009,51,37,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0244,Hattem,<=2009,87,73,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0244,Hattem,<2004,89,76,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0244,Hattem,2004-2009,61,44,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0246,Heerde,<=2009,82,74,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0246,Heerde,<2004,85,77,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0246,Heerde,2004-2009,55,42,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0252,Heumen,<=2009,90,80,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0252,Heumen,<2004,91,82,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0252,Heumen,2004-2009,76,59,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0262,Lochem,<=2009,86,78,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0262,Lochem,<2004,88,80,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0262,Lochem,2004-2009,63,49,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0263,Maasdriel,<=2009,81,68,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0263,Maasdriel,<2004,82,70,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0263,Maasdriel,2004-2009,60,45,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0267,Nijkerk,<=2009,79,68,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0267,Nijkerk,<2004,82,71,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0267,Nijkerk,2004-2009,48,36,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0268,Nijmegen,<=2009,82,70,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0268,Nijmegen,<2004,84,72,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0268,Nijmegen,2004-2009,56,43,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0269,Oldebroek,<=2009,75,64,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0269,Oldebroek,<2004,78,68,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0269,Oldebroek,2004-2009,43,29,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0273,Putten,<=2009,76,63,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0273,Putten,<2004,79,66,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0273,Putten,2004-2009,42,30,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0274,Renkum,<=2009,86,77,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0274,Renkum,<2004,88,79,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0274,Renkum,2004-2009,66,53,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0275,Rheden,<=2009,84,75,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0275,Rheden,<2004,86,77,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0275,Rheden,2004-2009,59,45,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0277,Rozendaal,<=2009,91,81,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0277,Rozendaal,<2004,93,84,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0277,Rozendaal,2004-2009,71,57,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0279,Scherpenzeel,<=2009,71,60,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0279,Scherpenzeel,<2004,75,64,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0279,Scherpenzeel,2004-2009,35,26,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0281,Tiel,<=2009,76,65,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0281,Tiel,<2004,78,67,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0281,Tiel,2004-2009,48,35,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0285,Voorst,<=2009,87,77,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0285,Voorst,<2004,89,79,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0285,Voorst,2004-2009,65,50,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0289,Wageningen,<=2009,84,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0289,Wageningen,<2004,85,72,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0289,Wageningen,2004-2009,67,52,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0293,Westervoort,<=2009,83,74,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0293,Westervoort,<2004,85,77,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0293,Westervoort,2004-2009,57,41,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0294,Winterswijk,<=2009,84,74,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0294,Winterswijk,<2004,86,77,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0294,Winterswijk,2004-2009,59,48,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0296,Wijchen,<=2009,87,77,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0296,Wijchen,<2004,89,79,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0296,Wijchen,2004-2009,69,51,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0297,Zaltbommel,<=2009,73,61,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0297,Zaltbommel,<2004,75,64,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0297,Zaltbommel,2004-2009,48,36,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0299,Zevenaar,<=2009,86,76,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0299,Zevenaar,<2004,87,78,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0299,Zevenaar,2004-2009,65,50,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0301,Zutphen,<=2009,79,70,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0301,Zutphen,<2004,81,73,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0301,Zutphen,2004-2009,56,44,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0302,Nunspeet,<=2009,69,57,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0302,Nunspeet,<2004,72,60,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0302,Nunspeet,2004-2009,40,27,12-17
