Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-08-10T10:30:00Z,2022-08-01,11086,Gemeente,GM0200,Apeldoorn,2005-2010,61,59,12-17
4,2022-08-10T10:30:00Z,2022-08-01,146087,Gemeente,GM0202,Arnhem,<=2010,79,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,135540,Gemeente,GM0202,Arnhem,<2005,81,80,18+
4,2022-08-10T10:30:00Z,2022-08-01,10547,Gemeente,GM0202,Arnhem,2005-2010,57,55,12-17
4,2022-08-10T10:30:00Z,2022-08-01,50887,Gemeente,GM0203,Barneveld,<=2010,68,67,12+
4,2022-08-10T10:30:00Z,2022-08-01,45806,Gemeente,GM0203,Barneveld,<2005,71,70,18+
4,2022-08-10T10:30:00Z,2022-08-01,5081,Gemeente,GM0203,Barneveld,2005-2010,39,38,12-17
4,2022-08-10T10:30:00Z,2022-08-01,23247,Gemeente,GM0209,Beuningen,<=2010,90,89,12+
4,2022-08-10T10:30:00Z,2022-08-01,21636,Gemeente,GM0209,Beuningen,<2005,91,90,18+
4,2022-08-10T10:30:00Z,2022-08-01,1611,Gemeente,GM0209,Beuningen,2005-2010,73,71,12-17
4,2022-08-10T10:30:00Z,2022-08-01,18966,Gemeente,GM0213,Brummen,<=2010,87,86,12+
4,2022-08-10T10:30:00Z,2022-08-01,17676,Gemeente,GM0213,Brummen,<2005,89,88,18+
4,2022-08-10T10:30:00Z,2022-08-01,1290,Gemeente,GM0213,Brummen,2005-2010,67,63,12-17
4,2022-08-10T10:30:00Z,2022-08-01,24312,Gemeente,GM0214,Buren,<=2010,84,83,12+
4,2022-08-10T10:30:00Z,2022-08-01,22425,Gemeente,GM0214,Buren,<2005,85,85,18+
4,2022-08-10T10:30:00Z,2022-08-01,1887,Gemeente,GM0214,Buren,2005-2010,62,59,12-17
4,2022-08-10T10:30:00Z,2022-08-01,25745,Gemeente,GM0216,Culemborg,<=2010,84,83,12+
4,2022-08-10T10:30:00Z,2022-08-01,23659,Gemeente,GM0216,Culemborg,<2005,86,85,18+
4,2022-08-10T10:30:00Z,2022-08-01,2086,Gemeente,GM0216,Culemborg,2005-2010,61,59,12-17
4,2022-08-10T10:30:00Z,2022-08-01,10122,Gemeente,GM0221,Doesburg,<=2010,85,84,12+
4,2022-08-10T10:30:00Z,2022-08-01,9429,Gemeente,GM0221,Doesburg,<2005,87,86,18+
4,2022-08-10T10:30:00Z,2022-08-01,693,Gemeente,GM0221,Doesburg,2005-2010,63,59,12-17
4,2022-08-10T10:30:00Z,2022-08-01,52223,Gemeente,GM0222,Doetinchem,<=2010,86,85,12+
4,2022-08-10T10:30:00Z,2022-08-01,48295,Gemeente,GM0222,Doetinchem,<2005,88,87,18+
4,2022-08-10T10:30:00Z,2022-08-01,3928,Gemeente,GM0222,Doetinchem,2005-2010,65,61,12-17
4,2022-08-10T10:30:00Z,2022-08-01,17289,Gemeente,GM0225,Druten,<=2010,89,88,12+
4,2022-08-10T10:30:00Z,2022-08-01,15948,Gemeente,GM0225,Druten,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,1341,Gemeente,GM0225,Druten,2005-2010,70,69,12-17
4,2022-08-10T10:30:00Z,2022-08-01,22336,Gemeente,GM0226,Duiven,<=2010,89,88,12+
4,2022-08-10T10:30:00Z,2022-08-01,20631,Gemeente,GM0226,Duiven,<2005,91,90,18+
4,2022-08-10T10:30:00Z,2022-08-01,1705,Gemeente,GM0226,Duiven,2005-2010,72,70,12-17
4,2022-08-10T10:30:00Z,2022-08-01,104562,Gemeente,GM0228,Ede,<=2010,77,76,12+
4,2022-08-10T10:30:00Z,2022-08-01,95765,Gemeente,GM0228,Ede,<2005,80,79,18+
4,2022-08-10T10:30:00Z,2022-08-01,8797,Gemeente,GM0228,Ede,2005-2010,51,49,12-17
4,2022-08-10T10:30:00Z,2022-08-01,20648,Gemeente,GM0230,Elburg,<=2010,80,79,12+
4,2022-08-10T10:30:00Z,2022-08-01,18851,Gemeente,GM0230,Elburg,<2005,83,82,18+
4,2022-08-10T10:30:00Z,2022-08-01,1797,Gemeente,GM0230,Elburg,2005-2010,54,51,12-17
4,2022-08-10T10:30:00Z,2022-08-01,29702,Gemeente,GM0232,Epe,<=2010,84,83,12+
4,2022-08-10T10:30:00Z,2022-08-01,27535,Gemeente,GM0232,Epe,<2005,86,85,18+
4,2022-08-10T10:30:00Z,2022-08-01,2167,Gemeente,GM0232,Epe,2005-2010,62,59,12-17
4,2022-08-10T10:30:00Z,2022-08-01,24315,Gemeente,GM0233,Ermelo,<=2010,81,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,22404,Gemeente,GM0233,Ermelo,<2005,83,80,18+
4,2022-08-10T10:30:00Z,2022-08-01,1911,Gemeente,GM0233,Ermelo,2005-2010,56,53,12-17
4,2022-08-10T10:30:00Z,2022-08-01,42651,Gemeente,GM0243,Harderwijk,<=2010,82,80,12+
4,2022-08-10T10:30:00Z,2022-08-01,39053,Gemeente,GM0243,Harderwijk,<2005,84,82,18+
4,2022-08-10T10:30:00Z,2022-08-01,3598,Gemeente,GM0243,Harderwijk,2005-2010,60,58,12-17
4,2022-08-10T10:30:00Z,2022-08-01,10873,Gemeente,GM0244,Hattem,<=2010,88,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,9915,Gemeente,GM0244,Hattem,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,958,Gemeente,GM0244,Hattem,2005-2010,71,68,12-17
4,2022-08-10T10:30:00Z,2022-08-01,16969,Gemeente,GM0246,Heerde,<=2010,86,85,12+
4,2022-08-10T10:30:00Z,2022-08-01,15600,Gemeente,GM0246,Heerde,<2005,88,87,18+
4,2022-08-10T10:30:00Z,2022-08-01,1369,Gemeente,GM0246,Heerde,2005-2010,62,60,12-17
4,2022-08-10T10:30:00Z,2022-08-01,14950,Gemeente,GM0252,Heumen,<=2010,91,90,12+
4,2022-08-10T10:30:00Z,2022-08-01,13810,Gemeente,GM0252,Heumen,<2005,92,91,18+
4,2022-08-10T10:30:00Z,2022-08-01,1140,Gemeente,GM0252,Heumen,2005-2010,73,71,12-17
4,2022-08-10T10:30:00Z,2022-08-01,30996,Gemeente,GM0262,Lochem,<=2010,89,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,28605,Gemeente,GM0262,Lochem,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,2391,Gemeente,GM0262,Lochem,2005-2010,69,64,12-17
4,2022-08-10T10:30:00Z,2022-08-01,22958,Gemeente,GM0263,Maasdriel,<=2010,83,82,12+
4,2022-08-10T10:30:00Z,2022-08-01,21241,Gemeente,GM0263,Maasdriel,<2005,84,83,18+
4,2022-08-10T10:30:00Z,2022-08-01,1717,Gemeente,GM0263,Maasdriel,2005-2010,65,63,12-17
4,2022-08-10T10:30:00Z,2022-08-01,38625,Gemeente,GM0267,Nijkerk,<=2010,83,82,12+
4,2022-08-10T10:30:00Z,2022-08-01,35176,Gemeente,GM0267,Nijkerk,<2005,86,85,18+
4,2022-08-10T10:30:00Z,2022-08-01,3449,Gemeente,GM0267,Nijkerk,2005-2010,59,57,12-17
4,2022-08-10T10:30:00Z,2022-08-01,161419,Gemeente,GM0268,Nijmegen,<=2010,84,83,12+
4,2022-08-10T10:30:00Z,2022-08-01,151713,Gemeente,GM0268,Nijmegen,<2005,86,85,18+
4,2022-08-10T10:30:00Z,2022-08-01,9706,Gemeente,GM0268,Nijmegen,2005-2010,62,60,12-17
4,2022-08-10T10:30:00Z,2022-08-01,20996,Gemeente,GM0269,Oldebroek,<=2010,79,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,19069,Gemeente,GM0269,Oldebroek,<2005,82,81,18+
4,2022-08-10T10:30:00Z,2022-08-01,1927,Gemeente,GM0269,Oldebroek,2005-2010,52,50,12-17
4,2022-08-10T10:30:00Z,2022-08-01,21670,Gemeente,GM0273,Putten,<=2010,81,80,12+
4,2022-08-10T10:30:00Z,2022-08-01,19784,Gemeente,GM0273,Putten,<2005,84,82,18+
4,2022-08-10T10:30:00Z,2022-08-01,1886,Gemeente,GM0273,Putten,2005-2010,57,55,12-17
4,2022-08-10T10:30:00Z,2022-08-01,28436,Gemeente,GM0274,Renkum,<=2010,88,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,26313,Gemeente,GM0274,Renkum,<2005,89,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,2123,Gemeente,GM0274,Renkum,2005-2010,71,68,12-17
4,2022-08-10T10:30:00Z,2022-08-01,39031,Gemeente,GM0275,Rheden,<=2010,86,85,12+
4,2022-08-10T10:30:00Z,2022-08-01,36372,Gemeente,GM0275,Rheden,<2005,88,87,18+
4,2022-08-10T10:30:00Z,2022-08-01,2659,Gemeente,GM0275,Rheden,2005-2010,65,61,12-17
4,2022-08-10T10:30:00Z,2022-08-01,1524,Gemeente,GM0277,Rozendaal,<=2010,92,91,12+
4,2022-08-10T10:30:00Z,2022-08-01,1355,Gemeente,GM0277,Rozendaal,<2005,93,93,18+
4,2022-08-10T10:30:00Z,2022-08-01,169,Gemeente,GM0277,Rozendaal,2005-2010,81,76,12-17
4,2022-08-10T10:30:00Z,2022-08-01,8820,Gemeente,GM0279,Scherpenzeel,<=2010,74,73,12+
4,2022-08-10T10:30:00Z,2022-08-01,8046,Gemeente,GM0279,Scherpenzeel,<2005,77,76,18+
4,2022-08-10T10:30:00Z,2022-08-01,774,Gemeente,GM0279,Scherpenzeel,2005-2010,44,42,12-17
4,2022-08-10T10:30:00Z,2022-08-01,37665,Gemeente,GM0281,Tiel,<=2010,79,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,34823,Gemeente,GM0281,Tiel,<2005,81,80,18+
