"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"C.37 (lambda)",18617.5,3.88853987333873e-07,2.06395817231138e-06,NA,-3.65642969599354e-06,4.43413767066129e-06,2020-12-21,"C.37 (lambda)"
"B.1.617.2 (delta)",18617.5,0.000823320970184418,0.000597547760817446,NA,-0.000347851120060331,0.00199449306042917,2020-12-21,"B.1.617.2 (delta)"
"other",18617.5,0.985637377291645,0.00161217610303072,NA,0.982477570192968,0.988797184390321,2020-12-21,"other"
"B.1.1.7 (alpha)",18618.5,0.0140275387872311,0.00153501951776438,NA,0.0110189558168469,0.0170361217576154,2020-12-22,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18618.5,0.000724536921621608,0.000341271902736663,NA,5.56562833222929e-05,0.00139341755992092,2020-12-22,"B.1.351 (beta)"
"P.1 (gamma)",18618.5,3.78265172244022e-07,7.96754942962035e-07,NA,-1.18334582046583e-06,1.93987616495388e-06,2020-12-22,"P.1 (gamma)"
"C.37 (lambda)",18618.5,3.92514439008433e-07,2.13111104573777e-06,NA,-3.78438645769308e-06,4.56941533570995e-06,2020-12-22,"C.37 (lambda)"
"B.1.617.2 (delta)",18618.5,0.00082261874751841,0.000583487396924579,NA,-0.000320995535886792,0.00196623303092361,2020-12-22,"B.1.617.2 (delta)"
"other",18618.5,0.984424534764018,0.00169377770504902,NA,0.981104791464305,0.987744278063731,2020-12-22,"other"
"B.1.1.7 (alpha)",18619.5,0.0152790959674401,0.0016291850733792,NA,0.0120859518994666,0.0184722400354136,2020-12-23,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18619.5,0.000790200482268243,0.000362899205524936,NA,7.89311094211695e-05,0.00150146985511532,2020-12-23,"B.1.351 (beta)"
"P.1 (gamma)",18619.5,4.56820036496585e-07,9.4283429208073e-07,NA,-1.39110121937096e-06,2.30474129236413e-06,2020-12-23,"P.1 (gamma)"
"C.37 (lambda)",18619.5,3.96231595232828e-07,2.19905426936329e-06,NA,-3.91383557276826e-06,4.70629876323392e-06,2020-12-23,"C.37 (lambda)"
"B.1.617.2 (delta)",18619.5,0.000821884647846333,0.000569619102268215,NA,-0.000294548277505406,0.00193831757319807,2020-12-23,"B.1.617.2 (delta)"
"other",18619.5,0.983107965850814,0.00178074780040188,NA,0.979617764296477,0.98659816740515,2020-12-23,"other"
"B.1.1.7 (alpha)",18620.5,0.0166368618230396,0.00172759642632436,NA,0.0132508350476238,0.0200228885984555,2020-12-24,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18620.5,0.000861463629558952,0.000385556129410723,NA,0.000105787501895271,0.00161713975722263,2020-12-24,"B.1.351 (beta)"
"P.1 (gamma)",18620.5,5.51318011035436e-07,1.11458271390929e-06,NA,-1.63322396601768e-06,2.73585998808855e-06,2020-12-24,"P.1 (gamma)"
"C.37 (lambda)",18620.5,4.00006391365405e-07,2.26777840924026e-06,NA,-4.04475761566303e-06,4.84477039839384e-06,2020-12-24,"C.37 (lambda)"
