"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"B.1.617.2 (delta)",18623.5,0.001,5.11066131395881e-05,NA,0.001,0.001,2020-12-27,"B.1.617.2 (delta)"
"other",18623.5,0.944723509012924,0.00525652905962136,NA,0.934420901372378,0.95502611665347,2020-12-27,"other"
"B.1.1.7 (alpha)",18624.5,0.0551439328333126,0.00516719577017747,NA,0.0450164152226971,0.0652714504439282,2020-12-28,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18624.5,0.0029889305510084,0.00111888564829369,NA,0.001,0.00518190612448279,2020-12-28,"B.1.351 (beta)"
"P.1 (gamma)",18624.5,0.001,4.42325928604846e-06,NA,0.001,0.001,2020-12-28,"P.1 (gamma)"
"C.37 (lambda)",18624.5,0.001,6.81956280725513e-12,NA,0.001,0.001,2020-12-28,"C.37 (lambda)"
"B.1.617.2 (delta)",18624.5,0.001,5.15519172009214e-05,NA,0.001,0.001,2020-12-28,"B.1.617.2 (delta)"
"other",18624.5,0.94185618692134,0.00534031174815062,NA,0.931389368228748,0.952323005613931,2020-12-28,"other"
"B.1.1.7 (alpha)",18625.5,0.0580123400818506,0.00524792409842319,NA,0.0477265978553413,0.0682980823083599,2020-12-29,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18625.5,0.0031414500120452,0.00114172126696783,NA,0.001,0.00537918257568558,2020-12-29,"B.1.351 (beta)"
"P.1 (gamma)",18625.5,0.001,5.06810622075515e-06,NA,0.001,0.001,2020-12-29,"P.1 (gamma)"
"C.37 (lambda)",18625.5,0.001,5.09154984264097e-12,NA,0.001,0.001,2020-12-29,"C.37 (lambda)"
"B.1.617.2 (delta)",18625.5,0.001,5.19975300778102e-05,NA,0.001,0.001,2020-12-29,"B.1.617.2 (delta)"
"other",18625.5,0.938834615244133,0.00542176176328587,NA,0.928208157455336,0.94946107303293,2020-12-29,"other"
"B.1.1.7 (alpha)",18626.5,0.0610356701086992,0.00532632664503026,NA,0.0505962617145438,0.0714750785028545,2020-12-30,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18626.5,0.0033017835272366,0.00116439185180673,NA,0.00101961743380352,0.00558394962066968,2020-12-30,"B.1.351 (beta)"
"P.1 (gamma)",18626.5,0.001,5.80217521215194e-06,NA,0.001,0.001,2020-12-30,"P.1 (gamma)"
"C.37 (lambda)",18626.5,0.001,3.81650082740835e-12,NA,0.001,0.001,2020-12-30,"C.37 (lambda)"
"B.1.617.2 (delta)",18626.5,0.001,5.24434559658763e-05,NA,0.001,0.001,2020-12-30,"B.1.617.2 (delta)"
"other",18626.5,0.93565023303332,0.0055006490553442,NA,0.924869158993251,0.946431307073389,2020-12-30,"other"
"B.1.1.7 (alpha)",18627.5,0.0642225259002396,0.00540218525186312,NA,0.0536344373687745,0.0748106144317048,2020-12-31,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18627.5,0.00347031897060554,0.00118685415984993,NA,0.00114412756239813,0.00579651037881295,2020-12-31,"B.1.351 (beta)"
"P.1 (gamma)",18627.5,0.001,6.6368917622753e-06,NA,0.001,0.001,2020-12-31,"P.1 (gamma)"
"C.37 (lambda)",18627.5,0.001,2.87267124225989e-12,NA,0.001,0.001,2020-12-31,"C.37 (lambda)"
"B.1.617.2 (delta)",18627.5,0.001,5.28896606666662e-05,NA,0.001,0.001,2020-12-31,"B.1.617.2 (delta)"
"other",18627.5,0.932294038564304,0.00557674359775529,NA,0.92136382196169,0.943224255166919,2020-12-31,"other"
"B.1.1.7 (alpha)",18628.5,0.067581947365585,0.00547528354098321,NA,0.056850588820113,0.078313305911057,2021-01-01,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18628.5,0.00364745935733766,0.00120906329187911,NA,0.00127773885022517,0.00601717986445016,2021-01-01,"B.1.351 (beta)"
"P.1 (gamma)",18628.5,0.001,7.58497018022509e-06,NA,0.001,0.001,2021-01-01,"P.1 (gamma)"
"C.37 (lambda)",18628.5,0.001,2.17167130416056e-12,NA,0.001,0.001,2021-01-01,"C.37 (lambda)"
"B.1.617.2 (delta)",18628.5,0.001,5.33360682300966e-05,NA,0.001,0.001,2021-01-01,"B.1.617.2 (delta)"
"other",18628.5,0.928756576393751,0.00564981797791661,NA,0.917683136637828,0.939830016149675,2021-01-01,"other"
"B.1.1.7 (alpha)",18629.5,0.0711234227273388,0.00554540971384443,NA,0.0602546194086852,0.0819922260459925,2021-01-02,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18629.5,0.0038336226711865,0.0012309728812541,NA,0.00142096015798296,0.00624628518439004,2021-01-02,"B.1.351 (beta)"
"P.1 (gamma)",18629.5,0.001,8.66052584913726e-06,NA,0.001,0.001,2021-01-02,"P.1 (gamma)"
"C.37 (lambda)",18629.5,0.001,1.64919254723064e-12,NA,0.001,0.001,2021-01-02,"C.37 (lambda)"
"B.1.617.2 (delta)",18629.5,0.001,5.37825575102971e-05,NA,0.001,0.001,2021-01-02,"B.1.617.2 (delta)"
"other",18629.5,0.925027925898004,0.00571965047210243,NA,0.913817616968526,0.936238234827483,2021-01-02,"other"
"B.1.1.7 (alpha)",18630.5,0.0748568981437456,0.00561235984370792,NA,0.0638568749817992,0.0858569213056919,2021-01-03,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18630.5,0.00402924153929516,0.00125253533644806,NA,0.0015743173904932,0.00648416568809711,2021-01-03,"B.1.351 (beta)"
"P.1 (gamma)",18630.5,0.001,9.87919072957411e-06,NA,0.001,0.001,2021-01-03,"P.1 (gamma)"
