Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,May_include_samples_listed_before,Sample_size,Variant_cases
3,2022-01-28T10:16:28Z,2021-02-01,B.1.1.529,Omicron,VOC,VOC,FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.621,Mu,VOI,VOI,FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,C.37,Lambda,VOI,VOI,FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,AY.4.2,"",VOI,"",TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,C.36+S:L452R,"",VUM,"",FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.1.318,"",VUM,VUM,FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,P.1+S:P681H,"",VUM,"",TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.617.2+S:K417N,"",VUM,"",TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,C.1.2,"",VUM,VUM,FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.617.2+S:E484del,"",VUM,"",TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.617.2+S:Q613H,"",VUM,"",TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.617.2+S:Q677H,"",VUM,"",TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.640,"",VUM,VUM,FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.1.7,Alpha,DEV,VOC,FALSE,867,206
3,2022-01-28T10:16:28Z,2021-02-01,B.1.1.519,"",DEV,VUM,FALSE,867,1
3,2022-01-28T10:16:28Z,2021-02-01,BA.1,"",VOC,VOC,TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,BA.2,"",VOC,VOC,TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,BA.3,"",VOC,VOC,TRUE,867,0
3,2022-01-28T10:16:28Z,2021-02-08,B.1.351,Beta,VOC,VOC,FALSE,937,30
3,2022-01-28T10:16:28Z,2021-02-08,P.1,Gamma,VOC,VOC,FALSE,937,2
3,2022-01-28T10:16:28Z,2021-02-08,B.1.617.2,Delta,VOC,VOC,FALSE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,B.1.1.529,Omicron,VOC,VOC,FALSE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,B.1.621,Mu,VOI,VOI,FALSE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,C.37,Lambda,VOI,VOI,FALSE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,AY.4.2,"",VOI,"",TRUE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,C.36+S:L452R,"",VUM,"",FALSE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,B.1.1.318,"",VUM,VUM,FALSE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,P.1+S:P681H,"",VUM,"",TRUE,937,2
3,2022-01-28T10:16:28Z,2021-02-08,B.1.617.2+S:K417N,"",VUM,"",TRUE,937,0
3,2022-01-28T10:16:28Z,2021-02-08,C.1.2,"",VUM,VUM,FALSE,937,0
