Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-09-16T12:56:39Z,2021-04-05,P.1,Gamma,VOC,1531,23
1,2021-09-16T12:56:39Z,2021-04-05,B.1.617.2,Delta,VOC,1531,0
1,2021-09-16T12:56:39Z,2021-04-05,B.1.620,"",VOI,1531,0
1,2021-09-16T12:56:39Z,2021-04-05,B.1.621,Mu,VOI,1531,1
1,2021-09-16T12:56:39Z,2021-04-05,C.37,Lambda,VOI,1531,0
1,2021-09-16T12:56:39Z,2021-04-05,B.1.1.7,Alpha,"",1531,1456
1,2021-09-16T12:56:39Z,2021-04-05,B.1.525,Eta,"",1531,2
1,2021-09-16T12:56:39Z,2021-04-05,B.1.617.1,Kappa,"",1531,2
1,2021-09-16T12:56:39Z,2021-04-05,B.1.526,Iota,"",1531,0
1,2021-09-16T12:56:39Z,2021-04-12,B.1.351,Beta,VOC,1674,20
1,2021-09-16T12:56:39Z,2021-04-12,P.1,Gamma,VOC,1674,21
1,2021-09-16T12:56:39Z,2021-04-12,B.1.617.2,Delta,VOC,1674,1
1,2021-09-16T12:56:39Z,2021-04-12,B.1.620,"",VOI,1674,0
1,2021-09-16T12:56:39Z,2021-04-12,B.1.621,Mu,VOI,1674,1
1,2021-09-16T12:56:39Z,2021-04-12,C.37,Lambda,VOI,1674,0
1,2021-09-16T12:56:39Z,2021-04-12,B.1.1.7,Alpha,"",1674,1614
1,2021-09-16T12:56:39Z,2021-04-12,B.1.525,Eta,"",1674,1
1,2021-09-16T12:56:39Z,2021-04-12,B.1.617.1,Kappa,"",1674,1
1,2021-09-16T12:56:39Z,2021-04-12,B.1.526,Iota,"",1674,0
1,2021-09-16T12:56:39Z,2021-04-19,B.1.351,Beta,VOC,1588,18
1,2021-09-16T12:56:39Z,2021-04-19,P.1,Gamma,VOC,1588,27
1,2021-09-16T12:56:39Z,2021-04-19,B.1.617.2,Delta,VOC,1588,2
1,2021-09-16T12:56:39Z,2021-04-19,B.1.620,"",VOI,1588,0
1,2021-09-16T12:56:39Z,2021-04-19,B.1.621,Mu,VOI,1588,2
1,2021-09-16T12:56:39Z,2021-04-19,C.37,Lambda,VOI,1588,0
1,2021-09-16T12:56:39Z,2021-04-19,B.1.1.7,Alpha,"",1588,1520
1,2021-09-16T12:56:39Z,2021-04-19,B.1.525,Eta,"",1588,4
1,2021-09-16T12:56:39Z,2021-04-19,B.1.617.1,Kappa,"",1588,0
1,2021-09-16T12:56:39Z,2021-04-19,B.1.526,Iota,"",1588,2
1,2021-09-16T12:56:39Z,2021-04-26,B.1.351,Beta,VOC,1687,7
1,2021-09-16T12:56:39Z,2021-04-26,P.1,Gamma,VOC,1687,28
1,2021-09-16T12:56:39Z,2021-04-26,B.1.617.2,Delta,VOC,1687,4
1,2021-09-16T12:56:39Z,2021-04-26,B.1.620,"",VOI,1687,0
1,2021-09-16T12:56:39Z,2021-04-26,B.1.621,Mu,VOI,1687,1
1,2021-09-16T12:56:39Z,2021-04-26,C.37,Lambda,VOI,1687,0
1,2021-09-16T12:56:39Z,2021-04-26,B.1.1.7,Alpha,"",1687,1630
1,2021-09-16T12:56:39Z,2021-04-26,B.1.525,Eta,"",1687,1
1,2021-09-16T12:56:39Z,2021-04-26,B.1.617.1,Kappa,"",1687,0
1,2021-09-16T12:56:39Z,2021-04-26,B.1.526,Iota,"",1687,0
1,2021-09-16T12:56:39Z,2021-05-03,B.1.351,Beta,VOC,1683,12
1,2021-09-16T12:56:39Z,2021-05-03,P.1,Gamma,VOC,1683,35
1,2021-09-16T12:56:39Z,2021-05-03,B.1.617.2,Delta,VOC,1683,1
1,2021-09-16T12:56:39Z,2021-05-03,B.1.620,"",VOI,1683,1
1,2021-09-16T12:56:39Z,2021-05-03,B.1.621,Mu,VOI,1683,3
1,2021-09-16T12:56:39Z,2021-05-03,C.37,Lambda,VOI,1683,0
1,2021-09-16T12:56:39Z,2021-05-03,B.1.1.7,Alpha,"",1683,1617
1,2021-09-16T12:56:39Z,2021-05-03,B.1.525,Eta,"",1683,0
1,2021-09-16T12:56:39Z,2021-05-03,B.1.617.1,Kappa,"",1683,0
1,2021-09-16T12:56:39Z,2021-05-03,B.1.526,Iota,"",1683,0
1,2021-09-16T12:56:39Z,2021-05-10,B.1.351,Beta,VOC,1647,8
1,2021-09-16T12:56:39Z,2021-05-10,P.1,Gamma,VOC,1647,31
1,2021-09-16T12:56:39Z,2021-05-10,B.1.617.2,Delta,VOC,1647,11
1,2021-09-16T12:56:39Z,2021-05-10,B.1.620,"",VOI,1647,0
1,2021-09-16T12:56:39Z,2021-05-10,B.1.621,Mu,VOI,1647,3
1,2021-09-16T12:56:39Z,2021-05-10,C.37,Lambda,VOI,1647,0
1,2021-09-16T12:56:39Z,2021-05-10,B.1.1.7,Alpha,"",1647,1568
1,2021-09-16T12:56:39Z,2021-05-10,B.1.525,Eta,"",1647,1
1,2021-09-16T12:56:39Z,2021-05-10,B.1.617.1,Kappa,"",1647,0
1,2021-09-16T12:56:39Z,2021-05-10,B.1.526,Iota,"",1647,0
1,2021-09-16T12:56:39Z,2021-05-17,B.1.351,Beta,VOC,1366,3
1,2021-09-16T12:56:39Z,2021-05-17,P.1,Gamma,VOC,1366,32
1,2021-09-16T12:56:39Z,2021-05-17,B.1.617.2,Delta,VOC,1366,10
1,2021-09-16T12:56:39Z,2021-05-17,B.1.620,"",VOI,1366,0
1,2021-09-16T12:56:39Z,2021-05-17,B.1.621,Mu,VOI,1366,5
1,2021-09-16T12:56:39Z,2021-05-17,C.37,Lambda,VOI,1366,0
1,2021-09-16T12:56:39Z,2021-05-17,B.1.1.7,Alpha,"",1366,1295
1,2021-09-16T12:56:39Z,2021-05-17,B.1.525,Eta,"",1366,0
1,2021-09-16T12:56:39Z,2021-05-17,B.1.617.1,Kappa,"",1366,0
1,2021-09-16T12:56:39Z,2021-05-17,B.1.526,Iota,"",1366,0
1,2021-09-16T12:56:39Z,2021-05-24,B.1.351,Beta,VOC,1323,3
1,2021-09-16T12:56:39Z,2021-05-24,P.1,Gamma,VOC,1323,16
1,2021-09-16T12:56:39Z,2021-05-24,B.1.617.2,Delta,VOC,1323,23
1,2021-09-16T12:56:39Z,2021-05-24,B.1.620,"",VOI,1323,0
1,2021-09-16T12:56:39Z,2021-05-24,B.1.621,Mu,VOI,1323,0
1,2021-09-16T12:56:39Z,2021-05-24,C.37,Lambda,VOI,1323,1
1,2021-09-16T12:56:39Z,2021-05-24,B.1.1.7,Alpha,"",1323,1257
1,2021-09-16T12:56:39Z,2021-05-24,B.1.525,Eta,"",1323,0
1,2021-09-16T12:56:39Z,2021-05-24,B.1.617.1,Kappa,"",1323,0
1,2021-09-16T12:56:39Z,2021-05-24,B.1.526,Iota,"",1323,0
1,2021-09-16T12:56:39Z,2021-05-31,B.1.351,Beta,VOC,1271,0
1,2021-09-16T12:56:39Z,2021-05-31,P.1,Gamma,VOC,1271,22
1,2021-09-16T12:56:39Z,2021-05-31,B.1.617.2,Delta,VOC,1271,48
1,2021-09-16T12:56:39Z,2021-05-31,B.1.620,"",VOI,1271,0
1,2021-09-16T12:56:39Z,2021-05-31,B.1.621,Mu,VOI,1271,4
1,2021-09-16T12:56:39Z,2021-05-31,C.37,Lambda,VOI,1271,0
1,2021-09-16T12:56:39Z,2021-05-31,B.1.1.7,Alpha,"",1271,1163
1,2021-09-16T12:56:39Z,2021-05-31,B.1.525,Eta,"",1271,1
1,2021-09-16T12:56:39Z,2021-05-31,B.1.617.1,Kappa,"",1271,0
1,2021-09-16T12:56:39Z,2021-05-31,B.1.526,Iota,"",1271,0
1,2021-09-16T12:56:39Z,2021-06-07,B.1.351,Beta,VOC,1174,1
1,2021-09-16T12:56:39Z,2021-06-07,P.1,Gamma,VOC,1174,12
1,2021-09-16T12:56:39Z,2021-06-07,B.1.617.2,Delta,VOC,1174,100
1,2021-09-16T12:56:39Z,2021-06-07,B.1.620,"",VOI,1174,0
1,2021-09-16T12:56:39Z,2021-06-07,B.1.621,Mu,VOI,1174,5
