"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new","color_yesterday","color_lastweek"
"Montfoort","GM0335",2022-08-18,7259,7259,7256,7253,7246,723,723,2021-01-01,6536,0,3,13,-70,"&#x2798;&#x2798;",13813,0,21.718670817346,94.1142402084992,"&#128999;","&#128999;","&#128721;","&#128721;"
"Renswoude","GM0339",2022-08-18,2915,2915,2913,2913,2909,320,320,2021-01-01,2595,0,2,6,-50,"&#x2798;&#x2798;",5637,0,35.4798651765123,106.439595529537,"&#128721;","&#128721;","&#128721;","&#128721;"
"Rhenen","GM0340",2022-08-18,10241,10241,10231,10231,10223,1280,1280,2021-01-01,8961,0,10,18,25,"&#x279A;",20253,0,49.3754011751345,88.8757221152422,"&#128721;","&#128721;","&#128721;","&#128721;"
"Soest","GM0342",2022-08-18,22291,22291,22265,22263,22237,2254,2254,2021-01-01,20037,0,26,54,-7.14285714285714,"&#x2798;",47104,0,55.1970108695652,114.639945652174,"&#128721;","&#128721;","&#128721;","&#128721;"
"Utrecht","GM0344",2022-08-18,193098,193093,192859,192812,192564,17981,17981,2021-01-01,175117,5,239,534,-18.9830508474576,"&#x2798;",362715,1.37849275602057,65.8919537377831,147.223026342997,"&#128721;","&#128721;","&#128721;","&#128721;"
"Veenendaal","GM0345",2022-08-18,35672,35672,35637,35634,35586,4697,4697,2021-01-01,30975,0,35,86,-31.3725490196078,"&#x2798;",67789,0,51.6307955568013,126.864240510997,"&#128721;","&#128721;","&#128721;","&#128721;"
"Woudenberg","GM0351",2022-08-18,7568,7568,7559,7558,7541,828,828,2021-01-01,6740,0,9,27,-50,"&#x2798;&#x2798;",13921,0,64.6505279793118,193.951583937936,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Wijk bij Duurstede","GM0352",2022-08-18,10769,10769,10754,10754,10736,893,893,2021-01-01,9876,0,15,33,-16.6666666666667,"&#x2798;",23942,0,62.65140756829,137.833096650238,"&#128721;","&#128721;","&#128721;","&#128721;"
"IJsselstein","GM0353",2022-08-18,17233,17233,17216,17214,17197,1521,1521,2021-01-01,15712,0,17,36,-10.5263157894737,"&#x2798;",33443,0,50.8327602188799,107.645845169393,"&#128721;","&#128721;","&#128721;","&#128721;"
"Zeist","GM0355",2022-08-18,30333,30332,30275,30261,30191,2769,2769,2021-01-01,27564,1,58,142,-30.952380952381,"&#x2798;",66019,1.51471546070071,87.853496720641,215.0895954195,"&#128721;","&#128721;","&#x1F7E3;","&#x1F7E3;"
"Nieuwegein","GM0356",2022-08-18,28873,28867,28822,28815,28777,2514,2514,2021-01-01,26359,6,51,96,13.3333333333333,"&#x279A;",64529,9.2981450200685,79.0342326705822,148.770320321096,"&#128721;","&#128721;","&#128721;","&#128721;"
"Aalsmeer","GM0358",2022-08-18,16619,16619,16609,16604,16588,1481,1481,2021-01-01,15138,0,10,31,-52.3809523809524,"&#x2798;&#x2798;",32532,0,30.7389647116685,95.2907906061724,"&#128999;","&#128999;","&#128721;","&#128721;"
"Alkmaar","GM0361",2022-08-18,51082,51079,51029,51015,50957,4215,4215,2021-01-01,46867,3,53,125,-26.3888888888889,"&#x2798;",110834,2.7067506360864,47.8192612375264,112.7812765036,"&#128721;","&#128721;","&#128721;","&#128721;"
"Amstelveen","GM0362",2022-08-18,41783,41784,41739,41731,41662,3968,3968,2021-01-01,37815,-1,44,121,-42.8571428571429,"&#x2798;",92509,-1.08097590504708,47.5629398220714,130.798084510696,"&#128721;","&#128721;","&#128721;","&#128721;"
"Amsterdam","GM0363",2022-08-18,432610,432602,432109,432014,431436,52734,52734,2021-01-01,379876,8,501,1174,-25.55720653789,"&#x2798;",885941,0.902994668945223,56.5500411426946,132.514467667712,"&#128721;","&#128721;","&#128721;","&#128721;"
"Bergen (NH.)","GM0373",2022-08-18,12096,12096,12084,12080,12061,1212,1212,2021-01-01,10884,0,12,35,-47.8260869565217,"&#x2798;",29756,0,40.3280010754134,117.623336469956,"&#128721;","&#128721;","&#128721;","&#128721;"
"Beverwijk","GM0375",2022-08-18,19519,19519,19483,19481,19452,1743,1743,2021-01-01,17776,0,36,67,16.1290322580645,"&#x279A;",42133,0,85.4437139534332,159.020245413334,"&#128721;","&#128721;","&#128721;","&#128721;"
