"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Unknown","",2022-02-09,NA,46743,33076,27317,NA,NA,NA,NA,94050,92999,91694,NA,NA,NA,44,42,42,NA,NA,NA,NA,NA,NA,0.1
"Nieuwegein","GM0356",2022-02-09,64606,18686,16261,13928,3753.5,7364.6,28923,"&#x26a1;",338,334,329,6.2,13.9,523.2,37,37,37,0,0,57.3,28.9,0.5,0.1,0.2
"Aalsmeer","GM0358",2022-02-09,32386,11146,9640,8625,4650.2,7784.2,34416.1,"&#128721;",118,118,117,0,3.1,364.4,30,30,30,0,0,92.6,34.4,0.4,0.1,0.3
"Alkmaar","GM0361",2022-02-09,110609,34193,29413,25716,4321.5,7663.9,30913.4,"&#x26a1;",590,581,567,8.1,20.8,533.4,95,93,93,1.8,1.8,85.9,30.9,0.5,0.1,0.3
"Amstelveen","GM0362",2022-02-09,92421,28261,24514,21597,4054.3,7210.5,30578.5,"&#x26a1;",381,379,375,2.2,6.5,412.2,119,119,118,0,1.1,128.8,30.6,0.4,0.1,0.4
"Amsterdam","GM0363",2022-02-09,883487,295073,263199,238224,3607.7,6434.6,33398.7,"&#x26a1;",5205,5138,5065,7.6,15.8,589.1,991,984,977,0.8,1.6,112.2,33.4,0.6,0.1,0.3
"Bergen (NH.)","GM0373",2022-02-09,29732,8074,7109,6469,3245.7,5398.2,27155.9,"&#x26a1;",164,161,159,10.1,16.8,551.6,41,41,41,0,0,137.9,27.2,0.6,0.1,0.5
"Beverwijk","GM0375",2022-02-09,42113,13256,11035,9830,5273.9,8135.3,31477.2,"&#x1F7E3;",161,161,159,0,4.7,382.3,46,46,46,0,0,109.2,31.5,0.4,0.1,0.3
"Blaricum","GM0376",2022-02-09,12357,3732,3265,2859,3779.2,7064.8,30201.5,"&#x26a1;",40,40,39,0,8.1,323.7,8,8,8,0,0,64.7,30.2,0.3,0.1,0.2
"Bloemendaal","GM0377",2022-02-09,23725,7375,6190,5573,4994.7,7595.4,31085.4,"&#x26a1;",37,35,33,8.4,16.9,156,23,22,22,4.2,4.2,96.9,31.1,0.2,0.1,0.3
"Castricum","GM0383",2022-02-09,36251,10977,9197,7864,4910.2,8587.3,30280.5,"&#x26a1;",116,115,111,2.8,13.8,320,33,33,33,0,0,91,30.3,0.3,0.1,0.3
"Diemen","GM0384",2022-02-09,31850,10607,9442,8550,3657.8,6458.4,33303,"&#x26a1;",159,158,155,3.1,12.6,499.2,43,43,43,0,0,135,33.3,0.5,0.1,0.4
"Edam-Volendam","GM0385",2022-02-09,36474,14764,13149,11888,4427.8,7885.1,40478.1,"&#x26a1;",294,292,286,5.5,21.9,806.1,27,27,27,0,0,74,40.5,0.8,0.1,0.2
"Enkhuizen","GM0388",2022-02-09,18653,5376,4476,3988,4825,7441.2,28821.1,"&#x1F7E3;",103,103,102,0,5.4,552.2,17,17,17,0,0,91.1,28.8,0.6,0.1,0.3
"Haarlem","GM0392",2022-02-09,162923,51544,43159,38039,5146.6,8289.2,31637,"&#x26a1;",442,437,432,3.1,6.1,271.3,195,192,190,1.8,3.1,119.7,31.6,0.3,0.1,0.4
"Haarlemmermeer","GM0394",2022-02-09,159248,50052,42733,38028,4596,7550.5,31430.2,"&#x26a1;",489,483,471,3.8,11.3,307.1,140,139,138,0.6,1.3,87.9,31.4,0.3,0.1,0.3
"Heemskerk","GM0396",2022-02-09,39185,12500,10528,9360,5032.5,8013.3,31900,"&#x1F7E3;",163,162,162,2.6,2.6,416,46,46,46,0,0,117.4,31.9,0.4,0.1,0.4
"Heemstede","GM0397",2022-02-09,27589,8367,6929,6290,5212.2,7528.4,30327.3,"&#x26a1;",62,61,60,3.6,7.2,224.7,68,67,67,3.6,3.6,246.5,30.3,0.2,0.2,0.8
"Heiloo","GM0399",2022-02-09,24377,6706,5568,4894,4668.3,7433.2,27509.5,"&#x26a1;",76,74,73,8.2,12.3,311.8,18,18,18,0,0,73.8,27.5,0.3,0.1,0.3
"Den Helder","GM0400",2022-02-09,56369,16916,14083,12190,5025.8,8384,30009.4,"&#x26a1;",328,322,319,10.6,16,581.9,51,51,51,0,0,90.5,30,0.6,0.1,0.3
"Hilversum","GM0402",2022-02-09,91786,27742,23612,20195,4499.6,8222.4,30224.7,"&#x26a1;",251,249,243,2.2,8.7,273.5,107,107,107,0,0,116.6,30.2,0.3,0.1,0.4
"Hoorn","GM0405",2022-02-09,74257,24887,21179,18294,4993.5,8878.6,33514.7,"&#x26a1;",424,416,411,10.8,17.5,571,59,59,59,0,0,79.5,33.5,0.6,0.1,0.2
"Huizen","GM0406",2022-02-09,40972,13055,11487,10043,3827,7351.4,31863.2,"&#x26a1;",145,143,142,4.9,7.3,353.9,64,64,62,0,4.9,156.2,31.9,0.4,0.2,0.5
"Landsmeer","GM0415",2022-02-09,11567,3944,3530,3086,3579.1,7417.7,34097,"&#x26a1;",62,62,60,0,17.3,536,13,13,13,0,0,112.4,34.1,0.5,0.1,0.3
"Laren","GM0417",2022-02-09,11471,3220,2887,2669,2903,4803.4,28070.8,"&#x26a1;",31,30,27,8.7,34.9,270.2,31,31,31,0,0,270.2,28.1,0.3,0.3,1
