"date","IC_capaciteit_totaal","kliniek_capaciteit_totaal","IC_bezetting_covid","IC_bezetting_covid_internationaal","IC_bezetting_ontlabeld","IC_bezetting_noncovid","kliniek_bezetting_covid","kliniek_bezetting_ontlabeld","kliniek_bezetting_noncovid","IC_opnames_covid","kliniek_opnames_covid","Kliniek_Bedden_Nederland","IC_Bedden_COVID_Nederland","Totaal_Bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek","Kliniek_Bedden_7d","IC_Bedden_7d","Totaal_Bedden_7d","IC_Bedden_14d","Kliniek_Bedden_14d","Totaal_Bedden_14d","OMT_Check_IC_Bezetting","OMT_Check_Kliniek_Bezetting","OMT_Check_Totaal_Bezetting"
2021-05-16,1371,14674,604,0,82,429,1115,351,10683,26,137,1466,686,2152,32.8571428571429,192.857142857143,163,225.714285714286,686,41,232.285714285714,80.1,83,1575.42857142857,728.571428571429,2304,803.142857142857,1737.57142857143,2540.71428571429,90.7,90.7,90.7
2021-05-15,1384,14755,622,0,88,442,1143,330,10959,40,220,1473,710,2183,32.5714285714286,198.285714285714,260,230.857142857143,710,43.2857142857143,232.142857142857,75.2,85.4,1604.28571428571,740.142857142857,2344.42857142857,808.428571428571,1755.85714285714,2564.28571428571,91.6,91.4,91.4
2021-05-14,1392,14992,645,0,83,414,1162,360,11341,22,141,1522,728,2250,32.1428571428571,204.571428571429,163,236.714285714286,728,46.5714285714286,231.571428571429,69,88.3,1636.71428571429,749.857142857143,2386.57142857143,813.142857142857,1774,2587.14285714286,92.2,92.3,92.2
2021-05-13,1388,14965,649,0,84,422,1170,328,11191,35,205,1498,733,2231,35.2857142857143,219.142857142857,240,254.428571428571,733,47.1428571428571,241.285714285714,74.8,90.8,1665.57142857143,759.714285714286,2425.28571428571,814.571428571429,1799,2613.57142857143,93.3,92.6,92.8
2021-05-12,1420,15247,657,0,81,477,1256,351,11793,40,209,1607,738,2345,36.1428571428571,221,249,257.142857142857,738,47.2857142857143,252.428571428571,76.4,87.5,1700.71428571429,770.285714285714,2471,815.428571428571,1820,2635.42857142857,94.5,93.4,93.8
2021-05-11,1410,15150,671,0,77,444,1362,370,11863,29,255,1732,748,2480,37.1428571428571,226,284,263.142857142857,748,46.5714285714286,250.714285714286,79.8,90.1,1716.14285714286,783.428571428571,2499.57142857143,813.142857142857,1831.71428571429,2644.85714285714,96.3,93.7,94.5
2021-05-10,1417,15040,674,0,83,385,1376,354,11087,38,183,1730,757,2487,39.7142857142857,228.428571428571,221,268.142857142857,757,48,259.714285714286,82.7,88,1725.14285714286,793.428571428571,2518.57142857143,813.428571428571,1829.14285714286,2642.57142857143,97.5,94.3,95.3
2021-05-09,1402,14476,686,0,81,395,1335,333,10293,24,175,1668,767,2435,41,232.285714285714,199,273.285714285714,767,46.2857142857143,260,88.6,89.3,1737.57142857143,803.142857142857,2540.71428571429,811.714285714286,1820.85714285714,2632.57142857143,98.9,95.4,96.5
2021-05-08,1405,14870,699,0,79,406,1382,318,10914,37,264,1700,778,2478,43.2857142857143,232.142857142857,301,275.428571428571,778,47.4285714285714,264.714285714286,91.3,87.7,1755.85714285714,808.428571428571,2564.28571428571,817,1805.85714285714,2622.85714285714,99,97.2,97.8
2021-05-07,1407,15148,720,0,77,403,1407,317,11235,44,243,1724,797,2521,46.5714285714286,231.571428571429,287,278.142857142857,797,45.8571428571429,266.571428571429,101.6,86.9,1774,813.142857142857,2587.14285714286,817.714285714286,1787.42857142857,2605.14285714286,99.4,99.2,99.3
2021-05-06,1408,15136,725,0,82,409,1407,337,11250,41,218,1744,807,2551,47.1428571428571,241.285714285714,259,288.428571428571,807,46,256,102.5,94.3,1799,814.571428571429,2613.57142857143,822,1769.85714285714,2591.85714285714,99.1,101.6,100.8
2021-05-05,1408,15082,752,0,78,406,1399,316,11406,47,244,1715,830,2545,47.2857142857143,252.428571428571,291,299.714285714286,830,45.2857142857143,255,104.4,99,1820,815.428571428571,2635.42857142857,825.714285714286,1763,2588.71428571429,98.8,103.2,101.8
2021-05-04,1409,15144,740,0,78,408,1438,357,11501,47,272,1795,818,2613,46.5714285714286,250.714285714286,319,297.285714285714,818,46,264.142857142857,101.2,94.9,1831.71428571429,813.142857142857,2644.85714285714,826.857142857143,1762.28571428571,2589.14285714286,98.3,103.9,102.2
2021-05-03,1411,15141,754,0,71,366,1477,340,11206,47,210,1817,825,2642,48,259.714285714286,257,307.714285714286,825,46.1428571428571,263,104,98.8,1829.14285714286,813.428571428571,2642.57142857143,827.285714285714,1769.85714285714,2597.14285714286,98.3,103.3,101.7
2021-05-02,1416,14839,733,0,71,366,1472,324,10622,40,174,1796,804,2600,46.2857142857143,260,214,306.285714285714,804,47.4285714285714,259.571428571429,97.6,100.2,1820.85714285714,811.714285714286,2632.57142857143,827.285714285714,1765.85714285714,2593.14285714286,98.1,103.1,101.5
2021-05-01,1418,15060,742,0,69,403,1515,312,11183,60,260,1827,811,2638,47.4285714285714,264.714285714286,320,312.142857142857,811,48.5714285714286,262.571428571429,97.6,100.8,1805.85714285714,817,2622.85714285714,822.571428571429,1762.85714285714,2585.42857142857,99.3,102.4,101.4
2021-04-30,1431,15403,736,0,71,423,1581,318,11980,48,311,1899,807,2706,45.8571428571429,266.571428571429,359,312.428571428571,807,50.1428571428571,262.285714285714,91.5,101.6,1787.42857142857,817.714285714286,2605.14285714286,820.571428571429,1752.57142857143,2573.14285714286,99.7,102,101.2
2021-04-29,1439,15476,741,0,72,440,1580,311,11899,42,296,1891,813,2704,46,256,338,302,813,50.4285714285714,263,91.2,97.3,1769.85714285714,822,2591.85714285714,814.142857142857,1741.42857142857,2555.57142857143,101,101.6,101.4
2021-04-28,1435,15545,740,0,74,406,1485,312,11448,42,232,1797,814,2611,45.2857142857143,255,274,300.285714285714,814,50.7142857142857,254.857142857143,89.3,100.1,1763,825.714285714286,2588.71428571429,807,1719.28571428571,2526.28571428571,102.3,102.5,102.5
2021-04-27,1426,15290,746,0,74,420,1485,292,11425,57,335,1777,820,2597,46,264.142857142857,392,310.142857142857,820,50.5714285714286,245.142857142857,91,107.8,1762.28571428571,826.857142857143,2589.14285714286,801.571428571429,1708.28571428571,2509.85714285714,103.2,103.2,103.2
2021-04-26,1437,15356,749,0,64,404,1466,293,11280,35,212,1759,813,2572,46.1428571428571,263,247,309.142857142857,813,48.7142857142857,235.714285714286,94.7,111.6,1769.85714285714,827.285714285714,2597.14285714286,797.428571428571,1698.28571428571,2495.71428571429,103.7,104.2,104.1
2021-04-25,1427,14904,769,0,72,381,1398,293,10542,48,207,1691,841,2532,47.4285714285714,259.571428571429,255,307,841,48.8571428571429,241.142857142857,97.1,107.6,1765.85714285714,827.285714285714,2593.14285714286,794.714285714286,1706.42857142857,2501.14285714286,104.1,103.5,103.7
2021-04-24,1436,15256,738,0,78,413,1406,292,11153,49,273,1698,816,2514,48.5714285714286,262.571428571429,322,311.142857142857,816,47.2857142857143,239.714285714286,102.7,109.5,1762.85714285714,822.571428571429,2585.42857142857,791.857142857143,1714.85714285714,2506.71428571429,103.9,102.8,103.1
2021-04-23,1429,15398,754,0,83,441,1457,319,12072,49,237,1776,837,2613,50.1428571428571,262.285714285714,286,312.428571428571,837,46.2857142857143,244.428571428571,108.3,107.3,1752.57142857143,820.571428571429,2573.14285714286,789.714285714286,1726,2515.71428571429,103.9,101.5,102.3
2021-04-22,1429,15670,764,0,75,419,1517,326,12142,37,289,1843,839,2682,50.4285714285714,263,326,313.428571428571,839,45.4285714285714,247.285714285714,111,106.4,1741.42857142857,814.142857142857,2555.57142857143,788.571428571429,1727.85714285714,2516.42857142857,103.2,100.8,101.6
2021-04-21,1428,15664,756,0,66,428,1495,297,12216,47,296,1792,822,2614,50.7142857142857,254.857142857143,343,305.571428571429,822,48,252.571428571429,105.7,100.9,1719.28571428571,807,2526.28571428571,789.857142857143,1733.42857142857,2523.28571428571,102.2,99.2,100.1
2021-04-20,1427,15585,755,0,68,425,1515,315,12028,58,327,1830,823,2653,50.5714285714286,245.142857142857,385,295.714285714286,823,49.5714285714286,260.714285714286,102,94,1708.28571428571,801.571428571429,2509.85714285714,788.714285714286,1743,2531.71428571429,101.6,98,99.1
2021-04-19,1422,15556,746,0,67,394,1423,308,11297,44,188,1731,813,2544,48.7142857142857,235.714285714286,232,284.428571428571,813,49.4285714285714,253,98.6,93.2,1698.28571428571,797.428571428571,2495.71428571429,782.428571428571,1741.28571428571,2523.71428571429,101.9,97.5,98.9
2021-04-18,1407,14969,738,0,70,377,1367,303,10681,56,228,1670,808,2478,48.8571428571429,241.142857142857,284,290,808,51.2857142857143,250,95.3,96.5,1706.42857142857,794.714285714286,2501.14285714286,775.571428571429,1718.42857142857,2494,102.5,99.3,100.3
2021-04-17,1400,15218,731,0,71,413,1345,281,11274,60,271,1626,802,2428,47.2857142857143,239.714285714286,331,287,802,52.4285714285714,244.142857142857,90.2,98.2,1714.85714285714,791.857142857143,2506.71428571429,767.285714285714,1698.14285714286,2465.42857142857,103.2,101,101.7
