"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Baarn","GM0308",2021-12-15,29,29,29,29,28,21,21,2021-01-01,29,0,0,1,-100,"&#x2798;",24785,0,0,4.03469840629413
"De Bilt","GM0310",2021-12-15,80,80,79,79,79,51,51,2021-01-01,80,0,1,1,100,"&#x279A;",43518,0,2.29789971965623,2.29789971965623
"Bunnik","GM0312",2021-12-15,14,14,14,14,14,11,11,2021-01-01,14,0,0,0,0,"-",15547,0,0,0
"Bunschoten","GM0313",2021-12-15,41,41,39,39,39,29,29,2021-01-01,41,0,2,2,200,"&#x279A;",22315,0,8.96258122339234,8.96258122339234
"Eemnes","GM0317",2021-12-15,6,6,6,6,6,1,1,2021-01-01,6,0,0,0,0,"-",9439,0,0,0
"Houten","GM0321",2021-12-15,53,53,53,53,53,48,48,2021-01-01,53,0,0,0,0,"-",50329,0,0,0
"Leusden","GM0327",2021-12-15,28,27,26,26,26,19,19,2021-01-01,28,1,2,2,200,"&#x279A;",30698,3.25754120789628,6.51508241579256,6.51508241579256
"Lopik","GM0331",2021-12-15,12,12,12,12,12,9,9,2021-01-01,12,0,0,0,0,"-",14537,0,0,0
"Montfoort","GM0335",2021-12-15,9,9,9,9,9,7,7,2021-01-01,9,0,0,0,0,"-",13845,0,0,0
"Renswoude","GM0339",2021-12-15,5,5,5,5,5,5,5,2021-01-01,5,0,0,0,0,"-",5653,0,0,0
"Rhenen","GM0340",2021-12-15,24,24,22,21,21,9,9,2021-01-01,24,0,2,3,100,"&#x279A;",20284,0,9.8599881680142,14.7899822520213
"Soest","GM0342",2021-12-15,52,52,50,50,50,37,37,2021-01-01,52,0,2,2,200,"&#x279A;",47105,0,4.24583377560768,4.24583377560768
"Utrecht","GM0344",2021-12-15,283,283,276,275,269,187,187,2021-01-01,283,0,7,14,0,"-",361639,0,1.93563194235135,3.8712638847027
"Veenendaal","GM0345",2021-12-15,85,85,84,84,84,42,42,2021-01-01,85,0,1,1,100,"&#x279A;",67582,0,1.47968393951052,1.47968393951052
"Woudenberg","GM0351",2021-12-15,9,9,9,9,9,5,5,2021-01-01,9,0,0,0,0,"-",13824,0,0,0
"Wijk bij Duurstede","GM0352",2021-12-15,19,19,18,18,17,9,9,2021-01-01,19,0,1,2,0,"-",23928,0,4.17920427950518,8.35840855901036
"IJsselstein","GM0353",2021-12-15,59,59,58,58,58,46,46,2021-01-01,59,0,1,1,100,"&#x279A;",33547,0,2.98089247920828,2.98089247920828
"Zeist","GM0355",2021-12-15,79,78,78,78,78,38,38,2021-01-01,79,1,1,1,100,"&#x279A;",65665,1.52288129140334,1.52288129140334,1.52288129140334
"Nieuwegein","GM0356",2021-12-15,34,34,32,32,32,19,19,2021-01-01,34,0,2,2,200,"&#x279A;",64466,0,3.10241057301523,3.10241057301523
"Aalsmeer","GM0358",2021-12-15,29,29,29,29,29,21,21,2021-01-01,29,0,0,0,0,"-",32374,0,0,0
"Alkmaar","GM0361",2021-12-15,87,87,87,87,87,48,48,2021-01-01,87,0,0,0,0,"-",110405,0,0,0
"Amstelveen","GM0362",2021-12-15,114,114,108,108,105,80,80,2021-01-01,114,0,6,9,100,"&#x279A;",92297,0,6.50075300388962,9.75112950583443
"Amsterdam","GM0363",2021-12-15,934,930,913,911,898,516,516,2021-01-01,934,4,21,36,40,"&#x279A;",880909,0.454076414249372,2.3839011748092,4.08668772824435
"Beemster","GM0370",2021-12-15,3,3,3,3,3,2,2,2021-01-01,3,0,0,0,0,"-",10630,0,0,0
"Bergen (NH.)","GM0373",2021-12-15,41,41,41,41,40,28,28,2021-01-01,41,0,0,1,-100,"&#x2798;",29729,0,0,3.36371892764641
"Beverwijk","GM0375",2021-12-15,44,44,44,43,43,17,17,2021-01-01,44,0,0,1,-100,"&#x2798;",42103,0,0,2.37512766311189
"Blaricum","GM0376",2021-12-15,7,7,7,7,7,4,4,2021-01-01,7,0,0,0,0,"-",12342,0,0,0
"Bloemendaal","GM0377",2021-12-15,19,19,18,18,18,8,8,2021-01-01,19,0,1,1,100,"&#x279A;",23715,0,4.21674045962471,4.21674045962471
"Castricum","GM0383",2021-12-15,27,27,27,27,25,13,13,2021-01-01,27,0,0,2,-100,"&#x2798;",36234,0,0,5.51967765082519
"Diemen","GM0384",2021-12-15,41,41,41,41,39,25,25,2021-01-01,41,0,0,2,-100,"&#x2798;",31818,0,0,6.28575020428688
"Edam-Volendam","GM0385",2021-12-15,26,26,26,26,26,9,9,2021-01-01,26,0,0,0,0,"-",36479,0,0,0
"Enkhuizen","GM0388",2021-12-15,16,16,16,16,14,8,8,2021-01-01,16,0,0,2,-100,"&#x2798;",18652,0,0,10.7227107012653
"Haarlem","GM0392",2021-12-15,179,179,166,166,164,114,114,2021-01-01,179,0,13,15,550,"&#x279A;",162779,0,7.98628815756332,9.21494787411153
"Haarlemmermeer","GM0394",2021-12-15,130,129,125,125,124,79,79,2021-01-01,130,1,5,6,400,"&#x279A;",158929,0.629211786395183,3.14605893197591,3.7752707183711
"Heemskerk","GM0396",2021-12-15,39,39,37,37,37,23,23,2021-01-01,39,0,2,2,200,"&#x279A;",39177,0,5.10503611813054,5.10503611813054
"Heemstede","GM0397",2021-12-15,67,67,66,65,65,49,49,2021-01-01,67,0,1,2,0,"-",27647,0,3.61702897240207,7.23405794480414
"Heerhugowaard","GM0398",2021-12-15,42,42,40,40,39,15,15,2021-01-01,42,0,2,3,100,"&#x279A;",59140,0,3.38180588434224,5.07270882651336
"Heiloo","GM0399",2021-12-15,18,17,17,17,17,10,10,2021-01-01,18,1,1,1,100,"&#x279A;",24370,4.10340582683627,4.10340582683627,4.10340582683627
"Den Helder","GM0400",2021-12-15,48,48,47,44,43,8,8,2021-01-01,48,0,1,5,-75,"&#x2798;",56423,0,1.77232688797122,8.86163443985609
"Hilversum","GM0402",2021-12-15,104,104,100,100,99,59,59,2021-01-01,104,0,4,5,300,"&#x279A;",91732,0,4.36052849605372,5.45066062006715
"Hoorn","GM0405",2021-12-15,57,57,57,56,55,24,24,2021-01-01,57,0,0,2,-100,"&#x2798;",74140,0,0,2.69759913676828
"Huizen","GM0406",2021-12-15,60,60,60,60,59,33,33,2021-01-01,60,0,0,1,-100,"&#x2798;",40940,0,0,2.44259892525647
"Landsmeer","GM0415",2021-12-15,8,8,8,8,7,5,5,2021-01-01,8,0,0,1,-100,"&#x2798;",11571,0,0,8.64229539365656
"Langedijk","GM0416",2021-12-15,18,18,18,18,17,7,7,2021-01-01,18,0,0,1,-100,"&#x2798;",28636,0,0,3.49210783628998
"Laren","GM0417",2021-12-15,31,31,31,31,31,16,16,2021-01-01,31,0,0,0,0,"-",11524,0,0,0
"Medemblik","GM0420",2021-12-15,29,29,29,29,28,12,12,2021-01-01,29,0,0,1,-100,"&#x2798;",45413,0,0,2.20201263955255
"Oostzaan","GM0431",2021-12-15,8,8,8,8,8,3,3,2021-01-01,8,0,0,0,0,"-",9659,0,0,0
"Opmeer","GM0432",2021-12-15,6,6,6,6,6,2,2,2021-01-01,6,0,0,0,0,"-",12084,0,0,0
"Ouder-Amstel","GM0437",2021-12-15,5,5,5,5,5,1,1,2021-01-01,5,0,0,0,0,"-",14195,0,0,0
"Purmerend","GM0439",2021-12-15,90,90,88,88,87,51,51,2021-01-01,90,0,2,3,100,"&#x279A;",81495,0,2.45413829069268,3.68120743603902
"Schagen","GM0441",2021-12-15,68,68,68,68,62,23,23,2021-01-01,68,0,0,6,-100,"&#x2798;",46816,0,0,12.8161312371839
"Texel","GM0448",2021-12-15,4,4,4,4,4,2,2,2021-01-01,4,0,0,0,0,"-",13702,0,0,0
"Uitgeest","GM0450",2021-12-15,12,12,12,12,11,6,6,2021-01-01,12,0,0,1,-100,"&#x2798;",13593,0,0,7.35672772750681
"Uithoorn","GM0451",2021-12-15,18,17,16,16,16,6,6,2021-01-01,18,1,2,2,200,"&#x279A;",30937,3.23237547273491,6.46475094546983,6.46475094546983
"Velsen","GM0453",2021-12-15,97,97,95,95,95,68,68,2021-01-01,97,0,2,2,200,"&#x279A;",68497,0,2.91983590522213,2.91983590522213
"Weesp","GM0457",2021-12-15,23,23,23,23,23,17,17,2021-01-01,23,0,0,0,0,"-",20733,0,0,0
"Zandvoort","GM0473",2021-12-15,46,46,44,44,44,19,19,2021-01-01,46,0,2,2,200,"&#x279A;",17101,0,11.6952225016081,11.6952225016081
"Zaanstad","GM0479",2021-12-15,189,189,186,186,186,127,127,2021-01-01,189,0,3,3,300,"&#x279A;",156989,0,1.91096191452904,1.91096191452904
"Alblasserdam","GM0482",2021-12-15,26,26,26,25,24,16,16,2021-01-01,26,0,0,2,-100,"&#x2798;",20093,0,0,9.95371522420744
"Alphen aan den Rijn","GM0484",2021-12-15,144,144,144,144,144,70,70,2021-01-01,144,0,0,0,0,"-",112940,0,0,0
"Barendrecht","GM0489",2021-12-15,50,50,50,50,49,34,34,2021-01-01,50,0,0,1,-100,"&#x2798;",48751,0,0,2.05123997456462
"Drechterland","GM0498",2021-12-15,13,13,13,13,13,9,9,2021-01-01,13,0,0,0,0,"-",19969,0,0,0
"Brielle","GM0501",2021-12-15,11,11,11,11,11,7,7,2021-01-01,11,0,0,0,0,"-",17674,0,0,0
"Capelle aan den IJssel","GM0502",2021-12-15,157,157,154,154,150,100,100,2021-01-01,157,0,3,7,-25,"&#x2798;",67133,0,4.46874115561646,10.4270626964384
"Delft","GM0503",2021-12-15,84,84,82,82,81,53,53,2021-01-01,84,0,2,3,100,"&#x279A;",104616,0,1.91175346027376,2.86763019041064
"Dordrecht","GM0505",2021-12-15,210,209,206,203,198,111,111,2021-01-01,210,1,4,12,-50,"&#x2798;",119445,0.837205408346938,3.34882163338775,10.0464649001633
"Gorinchem","GM0512",2021-12-15,46,46,46,45,45,26,26,2021-01-01,46,0,0,1,-100,"&#x2798;",37650,0,0,2.65604249667995
"Gouda","GM0513",2021-12-15,165,165,165,165,165,113,113,2021-01-01,165,0,0,0,0,"-",74108,0,0,0
"'s-Gravenhage","GM0518",2021-12-15,613,613,606,604,595,421,421,2021-01-01,613,0,7,18,-36.3636363636364,"&#x2798;",553008,0,1.26580447299135,3.25492578769204
"Hardinxveld-Giessendam","GM0523",2021-12-15,30,30,30,30,30,8,8,2021-01-01,30,0,0,0,0,"-",18521,0,0,0
"Hellevoetsluis","GM0530",2021-12-15,47,47,47,47,47,15,15,2021-01-01,47,0,0,0,0,"-",40559,0,0,0
"Hendrik-Ido-Ambacht","GM0531",2021-12-15,39,38,38,38,36,20,20,2021-01-01,39,1,1,3,-50,"&#x2798;",31612,3.16335568771353,3.16335568771353,9.49006706314058
"Stede Broec","GM0532",2021-12-15,16,16,16,16,15,6,6,2021-01-01,16,0,0,1,-100,"&#x2798;",21927,0,0,4.56058740365759
"Hillegom","GM0534",2021-12-15,22,22,21,21,21,2,2,2021-01-01,22,0,1,1,100,"&#x279A;",22314,0,4.48149144035135,4.48149144035135
"Katwijk","GM0537",2021-12-15,71,71,69,69,68,35,35,2021-01-01,71,0,2,3,100,"&#x279A;",65981,0,3.03117564147255,4.54676346220882
"Krimpen aan den IJssel","GM0542",2021-12-15,78,77,77,77,74,42,42,2021-01-01,78,1,1,4,-66.6666666666667,"&#x2798;",29410,3.40020401224073,3.40020401224073,13.6008160489629
"Leiden","GM0546",2021-12-15,82,82,81,81,81,43,43,2021-01-01,82,0,1,1,100,"&#x279A;",125030,0,0.799808046068944,0.799808046068944
"Leiderdorp","GM0547",2021-12-15,28,28,28,28,28,16,16,2021-01-01,28,0,0,0,0,"-",27500,0,0,0
"Lisse","GM0553",2021-12-15,22,22,22,22,22,11,11,2021-01-01,22,0,0,0,0,"-",23004,0,0,0
"Maassluis","GM0556",2021-12-15,40,40,38,37,37,21,21,2021-01-01,40,0,2,3,100,"&#x279A;",33857,0,5.90719792066633,8.8607968809995
"Nieuwkoop","GM0569",2021-12-15,26,26,26,25,25,16,16,2021-01-01,26,0,0,1,-100,"&#x2798;",29308,0,0,3.41203766889587
"Noordwijk","GM0575",2021-12-15,30,30,25,25,25,12,12,2021-01-01,30,0,5,5,500,"&#x279A;",44348,0,11.274465590331,11.274465590331
"Oegstgeest","GM0579",2021-12-15,32,32,32,32,32,21,21,2021-01-01,32,0,0,0,0,"-",25390,0,0,0
"Oudewater","GM0589",2021-12-15,12,12,12,12,12,12,12,2021-01-01,12,0,0,0,0,"-",10163,0,0,0
"Papendrecht","GM0590",2021-12-15,50,50,50,50,49,26,26,2021-01-01,50,0,0,1,-100,"&#x2798;",32217,0,0,3.10395133004314
"Ridderkerk","GM0597",2021-12-15,104,104,100,100,99,58,58,2021-01-01,104,0,4,5,300,"&#x279A;",47033,0,8.50466693598112,10.6308336699764
"Rotterdam","GM0599",2021-12-15,1035,1034,1020,1018,1014,673,673,2021-01-01,1035,1,15,21,150,"&#x279A;",654714,0.152738447627514,2.29107671441271,3.20750740017779
"Rijswijk","GM0603",2021-12-15,78,78,77,77,77,67,67,2021-01-01,78,0,1,1,100,"&#x279A;",56704,0,1.76354401805869,1.76354401805869
"Schiedam","GM0606",2021-12-15,123,123,123,123,123,53,53,2021-01-01,123,0,0,0,0,"-",79696,0,0,0
"Sliedrecht","GM0610",2021-12-15,48,48,47,47,46,23,22,2021-01-02,48,0,1,2,0,"-",25834,0,3.87086784857165,7.7417356971433
"Albrandswaard","GM0613",2021-12-15,23,23,23,23,23,17,17,2021-01-01,23,0,0,0,0,"-",25897,0,0,0
"Westvoorne","GM0614",2021-12-15,20,20,19,19,19,8,8,2021-01-01,20,0,1,1,100,"&#x279A;",14963,0,6.6831517743768,6.6831517743768
"Vlaardingen","GM0622",2021-12-15,107,107,104,104,102,59,59,2021-01-01,107,0,3,5,50,"&#x279A;",74249,0,4.04045845735296,6.7340974289216
"Voorschoten","GM0626",2021-12-15,24,24,24,24,24,16,16,2021-01-01,24,0,0,0,0,"-",25616,0,0,0
"Waddinxveen","GM0627",2021-12-15,18,18,18,18,18,11,11,2021-01-01,18,0,0,0,0,"-",31203,0,0,0
"Wassenaar","GM0629",2021-12-15,35,35,34,34,34,23,23,2021-01-01,35,0,1,1,100,"&#x279A;",27036,0,3.69877200769345,3.69877200769345
"Woerden","GM0632",2021-12-15,45,45,44,44,44,26,26,2021-01-01,45,0,1,1,100,"&#x279A;",52911,0,1.88996616960556,1.88996616960556
"Zoetermeer","GM0637",2021-12-15,75,75,73,72,72,35,35,2021-01-01,75,0,2,3,100,"&#x279A;",125576,0,1.59266101802892,2.38899152704338
"Zoeterwoude","GM0638",2021-12-15,1,1,1,1,1,1,1,2021-01-01,1,0,0,0,0,"-",9292,0,0,0
